,Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,Region,Year,3P_Rate,TopTeamThisYear?,best_pts,top_pts_sum,best_ast,top_ast_sum,best_per,top_per_avg,age,Year_Bin,Status,best_pts_scaled,top_pts_sum_scaled,best_ast_scaled,top_ast_sum_scaled
60,24,6.0,San Antonio Spurs*,82,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32.0,62.0,0.517,15.7,20.0,0.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,0.756,West,2014,0.2562874251497006,True,16.7,44.6,5.7,13.0,21.3,20.23,28.9,2012-2014,Playoffs,0.15844402277039846,0.42314990512333966,0.2261904761904762,0.5158730158730159
61,25,5.0,Oklahoma City Thunder*,82,241.5,39.0,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25.0,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,0.72,West,2014,0.2708585247883917,True,32.0,68.89999999999999,6.9,16.5,29.8,24.7,28.1,2012-2014,Playoffs,0.3013182674199623,0.6487758945386063,0.31506849315068497,0.7534246575342466
62,29,1.0,Los Angeles Clippers*,82,240.9,39.1,82.5,0.474,8.5,24.0,0.352,30.7,58.5,0.525,21.2,29.1,0.73,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,0.695,West,2014,0.2909090909090909,True,24.1,61.8,10.7,18.3,25.9,22.67,28.8,2012-2014,Playoffs,0.22335495829471733,0.5727525486561631,0.43495934959349586,0.7439024390243902
63,6,24.0,Indiana Pacers*,82,241.2,36.0,80.2,0.449,6.7,18.8,0.357,29.3,61.4,0.477,18.1,23.3,0.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7,0.683,East,2014,0.2344139650872818,True,21.7,49.5,4.6,11.6,20.1,19.17,27.55,2012-2014,Playoffs,0.22440537745604963,0.5118924508790073,0.22885572139303478,0.5771144278606964
64,18,12.0,Miami Heat*,82,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.558,17.5,23.0,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,0.659,East,2014,0.2915032679738562,True,27.1,62.3,6.3,15.9,29.3,23.43,30.55,2012-2014,Playoffs,0.2651663405088063,0.6095890410958904,0.27999999999999997,0.7066666666666667
65,26,4.0,Portland Trail Blazers*,82,242.1,39.1,87.0,0.45,9.4,25.3,0.372,29.7,61.7,0.481,19.1,23.5,0.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,0.659,West,2014,0.2908045977011494,True,23.2,60.3,5.6,15.0,21.8,19.37,26.5,2012-2014,Playoffs,0.21743205248359887,0.5651358950328023,0.24137931034482757,0.646551724137931
66,28,2.0,Houston Rockets*,82,241.8,38.0,80.5,0.472,9.5,26.6,0.358,28.5,54.0,0.529,22.1,31.1,0.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,0.659,West,2014,0.3304347826086957,True,25.4,60.3,6.1,14.2,23.5,21.3,25.79,2012-2014,Playoffs,0.23584029712163415,0.5598885793871866,0.2850467289719626,0.6635514018691588
67,20,10.0,Golden State Warriors*,82,241.8,39.5,85.4,0.462,9.4,24.8,0.38,30.0,60.6,0.496,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,0.622,West,2014,0.2903981264637002,True,24.0,60.6,8.5,16.3,24.1,20.07,27.4,2012-2014,Playoffs,0.23010546500479387,0.5810162991371045,0.3648068669527897,0.6995708154506438
68,3,27.0,Memphis Grizzlies*,82,241.5,38.1,82.0,0.464,4.9,14.0,0.353,33.1,68.0,0.487,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1,0.61,West,2014,0.1707317073170731,False,17.4,49.2,6.0,12.5,20.0,18.93,27.77,2012-2014,Playoffs,0.18106139438085328,0.5119667013527576,0.27397260273972607,0.5707762557077626
69,22,8.0,Dallas Mavericks*,82,241.8,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,0.598,West,2014,0.2739234449760765,False,21.7,52.6,5.7,14.9,23.6,21.47,30.2,2012-2014,Playoffs,0.20706106870229007,0.5019083969465649,0.24152542372881355,0.6313559322033898
